IdCaptacaoCursoInteresse,IdUnidade,StAtivo,NomeCursoInteresse
1,1,True,Ensino Fundamental - 1º Ano
2,1,True,Educação Infantil - Nível 1
3,1,True,Educação Infantil - Nível 2
4,1,True,Educação Infantil - Nível 3
5,1,True,Educação Infantil - Nível 4
6,1,True,Educação Infantil - Nível 5
7,1,True,Ensino Fundamental - 2º Ano
8,1,True,Ensino Fundamental - 3º Ano
9,1,True,Ensino Fundamental - 4º Ano
10,1,True,Ensino Fundamental - 5º Ano
11,1,True,Ensino Fundamental - 6º Ano
12,1,True,Ensino Fundamental - 7º Ano
13,1,True,Ensino Fundamental - 8º Ano
14,1,True,Ensino Fundamental - 9º Ano
15,1,True,Ensino Médio - 1ª Série
16,1,True,Ensino Médio - 2º Série
17,1,True,Ensino Médio - 3º Série
