IdFaseNotaOrigemDestino,IdPeriodo,IdSerieOrigem,IdSerieDestino
1,4,2,8
2,4,2,11
3,4,2,15
8,4,2,18
5,4,2,24
4,4,2,25
6,4,2,29
7,4,2,32
10,5,8,11
11,5,8,15
12,5,8,18
13,5,8,24
14,5,8,25
15,5,8,29
16,5,8,32
17,5,8,54
9,5,41,55
18,6,58,2
19,6,58,8
20,6,58,11
21,6,58,15
22,6,58,18
23,6,58,24
24,6,58,25
25,6,58,29
26,6,58,32
29,6,58,33
30,6,58,34
31,6,58,35
32,6,58,36
33,6,58,37
34,6,58,38
35,6,58,39
36,6,58,40
37,6,58,41
38,6,58,42
39,6,58,43
40,6,58,44
41,6,58,45
42,6,58,46
43,6,58,47
44,6,58,48
45,6,58,49
46,6,58,50
47,6,58,51
48,6,58,52
27,6,58,54
49,6,58,55
50,6,58,56
51,6,58,57
28,6,58,59
52,7,61,2
53,7,61,8
54,7,61,11
55,7,61,15
56,7,61,24
57,7,61,25
58,7,61,29
59,7,61,32
60,7,61,38
61,7,61,54
62,7,61,57
63,7,61,59
