IdAluno,CodigoSerie,AnoConclusao,ResultadoFinal,IdEstabelecimentoEnsino,DiasLetivos,CargaHorariaTotal,Observacao,IdSerie,CargaHorariaTotalExibicao,StCHIgnorarSoma,FrequenciaTotal,CargaHorariaTotalHoraMinuto,CargaHorariaTotalHoraMinutoExibicao,StUsaCargaHorariaTotalHoraMinutoTexto,TotalFaltasTexto
2,n14,2023  ,C,2083,,,,,,False,,,,False,
2,n17,2023  ,A,2083,,,,,,False,,,,False,
3,n16,2021  ,A,2083,,,,,,False,,,,False,
4,n16,2021  ,A,2083,,,,,,False,,,,False,
8,n16,2021  ,A,2083,,,,,,False,,,,False,
12,n16,2021  ,A,2083,,,,,,False,,,,False,
15,n16,2021  ,A,2083,,,,,,False,,,,False,
17,n16,2021  ,A,2083,,,,,,False,,,,False,
21,n16,2021  ,A,2083,,,,,,False,,,,False,
24,n16,2021  ,A,2083,,,,,,False,,,,False,
25,n16,2021  ,A,2083,,,,,,False,,,,False,
26,n16,2021  ,A,2083,,,,,,False,,,,False,
27,n16,2021  ,A,2083,,,,,,False,,,,False,
28,n16,2021  ,A,2083,,,,,,False,,,,False,
29,n16,2021  ,A,2083,,,,,,False,,,,False,
30,n16,2021  ,A,2083,,,,,,False,,,,False,
31,n16,2021  ,A,2083,,,,,,False,,,,False,
32,n16,2021  ,A,2083,,,,,,False,,,,False,
45,a21,2021  ,C,2083,,,,,,False,,,,,
45,n18,2022  ,A,2083,,,,,,False,,,,False,
87,n16,2021  ,A,2083,,,,,,False,,,,False,
95,n16,2023  ,C,2083,,,,,,False,,,,False,
107,n16,2023  ,C,2083,,,,,,False,,,,False,
116,n16,2023  ,C,2083,,,,,,False,,,,False,
130,n16,2021  ,A,2083,,,,,,False,,,,False,
131,n16,2021  ,A,2083,,,,,,False,,,,False,
147,n15,2023  ,C,2083,,,,,,False,,,,False,
149,n16,2024  ,C,2083,,,,,,False,,,,False,
150,n16,2023  ,C,2083,,,,,,False,,,,False,
154,n15,2024  ,C,2083,,,,,,False,,,,False,
155,n16,2024  ,C,2083,,,,,,False,,,,False,
158,n16,2023  ,C,2083,,,,,,False,,,,False,
158,n16,2024  ,C,2083,,,,,,False,,,,False,
159,n15,2024  ,C,2083,,,,,,False,,,,False,
162,n16,2023  ,C,2083,,,,,,False,,,,False,
163,n15,2023  ,C,2083,,,,,,False,,,,False,
163,n15,2024  ,C,2083,,,,,,False,,,,False,
167,n16,2023  ,C,2083,,,,,,False,,,,False,
176,n15,2024  ,C,2083,,,,,,False,,,,False,
181,n15,2024  ,C,2083,,,,,,False,,,,False,
182,n15,2024  ,C,2083,,,,,,False,,,,False,
208,n13,2022  ,C,2083,,,,,,False,,,,False,
221,n13,2022  ,C,2083,,,,,,False,,,,False,
289,n13,2022  ,C,2083,,,,,,False,,,,False,
305,n15,2024  ,C,2083,,,,,,False,,,,False,
321,n15,2024  ,C,2083,,,,,,False,,,,False,
324,n13,2022  ,C,2083,,,,,,False,,,,False,
352,n16,2024  ,C,2083,,,,,,False,,,,False,
412,n15,2024  ,C,2083,,,,,,False,,,,False,
431,n15,2024  ,C,2083,,,,,,False,,,,False,
437,n15,2023  ,C,2083,,,,,,False,,,,False,
455,n13,2022  ,C,2083,,,,,,False,,,,False,
459,n16,2024  ,C,2083,,,,,,False,,,,False,
499,n15,2024  ,C,2083,,,,,,False,,,,False,
518,n13,2022  ,C,2083,,,,,,False,,,,False,
537,n15,2024  ,C,2083,,,,,,False,,,,False,
540,n15,2022  ,C,2083,,,,,,False,,,,False,
562,n13,2022  ,C,2083,,,,,,False,,,,False,
582,n16,2021  ,A,2083,,,,,,False,,,,False,
583,n16,2021  ,A,2083,,,,,,False,,,,False,
587,n13,2022  ,C,2083,,,,,,False,,,,False,
724,n16,2021  ,A,2083,,,,,,False,,,,False,
727,n16,2021  ,A,2083,,,,,,False,,,,False,
734,n16,2021  ,A,2083,,,,,,False,,,,False,
735,n16,2021  ,A,2083,,,,,,False,,,,False,
736,n16,2021  ,A,2083,,,,,,False,,,,False,
738,n16,2021  ,A,2083,,,,,,False,,,,False,
739,n16,2021  ,A,2083,,,,,,False,,,,False,
740,n16,2021  ,A,2083,,,,,,False,,,,False,
744,n16,2021  ,A,2083,,,,,,False,,,,False,
746,n16,2021  ,A,2083,,,,,,False,,,,False,
747,n16,2021  ,A,2083,,,,,,False,,,,False,
748,n16,2021  ,A,2083,,,,,,False,,,,False,
749,n16,2021  ,A,2083,,,,,,False,,,,False,
750,n16,2021  ,A,2083,,,,,,False,,,,False,
751,n16,2021  ,A,2083,,,,,,False,,,,False,
755,n16,2023  ,C,2083,,,,,,False,,,,False,
793,n16,2023  ,C,2083,,,,,,False,,,,False,
794,n16,2021  ,A,2083,,,,,,False,,,,False,
799,n16,2021  ,A,2083,,,,,,False,,,,False,
872,n16,2023  ,C,2083,,,,,,False,,,,False,
874,n16,2024  ,C,2083,,,,,,False,,,,False,
879,n15,2023  ,C,2083,,,,,,False,,,,False,
879,n15,2024  ,C,2083,,,,,,False,,,,False,
887,n13,2022  ,C,2083,,,,,,False,,,,False,
920,n13,2022  ,C,2083,,,,,,False,,,,False,
930,n15,2023  ,C,2083,,,,,,False,,,,False,
933,n15,2023  ,C,2083,,,,,,False,,,,False,
996,n15,2024  ,C,2083,,,,,,False,,,,False,
1077,n15,2024  ,C,2083,,,,,,False,,,,False,
1124,n13,2022  ,C,2083,,,,,,False,,,,False,
1160,n15,2022  ,C,2083,,,,,,False,,,,False,
1164,n16,2023  ,C,2083,,,,,,False,,,,False,
1166,n13,2022  ,C,2083,,,,,,False,,,,False,
1167,n13,2022  ,C,2083,,,,,,False,,,,False,
1171,n13,2022  ,C,2083,,,,,,False,,,,False,
1175,n15,2024  ,C,2083,,,,,,False,,,,False,
1202,n15,2024  ,C,2083,,,,,,False,,,,False,
1229,n16,2023  ,C,2083,,,,,,False,,,,False,
1232,n16,2023  ,C,2083,,,,,,False,,,,False,
1246,n13,2022  ,C,2083,,,,,,False,,,,False,
1285,n15,2024  ,C,2083,,,,,,False,,,,False,
1289,n16,2024  ,C,2083,,,,,,False,,,,False,
1356,n16,2023  ,C,2083,,,,,,False,,,,False,
1398,n15,2023  ,C,2083,,,,,,False,,,,False,
1398,n15,2024  ,C,2083,,,,,,False,,,,False,
1402,n16,2023  ,C,2083,,,,,,False,,,,False,
1412,n16,2023  ,C,2083,,,,,,False,,,,False,
1412,n16,2024  ,C,2083,,,,,,False,,,,False,
1429,n16,2023  ,C,2083,,,,,,False,,,,False,
1429,n16,2024  ,C,2083,,,,,,False,,,,False,
1434,n15,2024  ,C,2083,,,,,,False,,,,False,
1436,n16,2023  ,C,2083,,,,,,False,,,,False,
1447,n15,2024  ,C,2083,,,,,,False,,,,False,
1450,n15,2023  ,C,2083,,,,,,False,,,,False,
1551,n15,2023  ,C,2083,,,,,,False,,,,False,
1551,n15,2024  ,C,2083,,,,,,False,,,,False,
1580,n15,2024  ,C,2083,,,,,,False,,,,False,
1581,n16,2023  ,C,2083,,,,,,False,,,,False,
1581,n16,2024  ,C,2083,,,,,,False,,,,False,
1588,n16,2024  ,C,2083,,,,,,False,,,,False,
1624,n15,2023  ,C,2083,,,,,,False,,,,False,
1627,n16,2024  ,C,2083,,,,,,False,,,,False,
2044,n16,2024  ,C,2083,,,,,,False,,,,False,
2105,n16,2024  ,C,2083,,,,,,False,,,,False,
2164,n15,2024  ,C,2083,,,,,,False,,,,False,
2165,n15,2024  ,C,2083,,,,,,False,,,,False,
2166,n16,2024  ,C,2083,,,,,,False,,,,False,
2167,n15,2024  ,C,2083,,,,,,False,,,,False,
2173,n15,2024  ,C,2083,,,,,,False,,,,False,
2178,n15,2024  ,C,2083,,,,,,False,,,,False,
2179,n16,2024  ,C,2083,,,,,,False,,,,False,
2180,n15,2024  ,C,2083,,,,,,False,,,,False,
2198,n15,2024  ,C,2083,,,,,,False,,,,False,
