IdProfessor,IdDisciplina
1,1
1,4
1,18
1,19
2,1
2,4
2,18
3,1
3,18
4,4
4,18
5,1
5,18
6,4
6,18
7,17
7,19
7,20
7,21
7,25
8,4
8,18
9,4
9,18
9,21
9,22
9,25
11,5
11,18
12,1
12,18
13,1
13,16
13,18
13,19
13,24
14,16
14,19
16,1
16,4
16,18
17,1
18,17
19,1
20,18
21,1
21,18
23,5
23,18
24,21
25,25
26,17
26,21
26,22
26,23
26,25
27,5
28,1
28,4
28,5
28,16
28,17
28,18
28,19
28,20
28,21
28,22
28,23
28,24
28,25
29,1
30,1
30,18
31,5
32,4
33,5
34,5
35,4
36,4
37,4
38,4
39,4
40,5
41,1
42,4
43,4
44,21
44,22
44,23
45,21
46,21
46,25
47,5
48,21
49,21
